test_id,interval_start_utc,interval_end_utc,p_sched_kw,p_actual_mean_kw,p_actual_median_kw,tracking_error_kw,steady_tracking_error_kw,abs_tracking_error_kw,steady_abs_tracking_error_kw,relative_tracking_error,sign_aware_actual_kw,shortfall_kw,steady_shortfall_kw,shortfall_kwh,steady_shortfall_kwh,requested_kwh_abs,delivered_ratio,direction,actual_sample_count,steady_sample_count,interval_usable
1,2022-10-06 11:45:00+00:00,2022-10-06 12:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 12:00:00+00:00,2022-10-06 12:15:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 12:15:00+00:00,2022-10-06 12:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 12:30:00+00:00,2022-10-06 12:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 12:45:00+00:00,2022-10-06 13:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 13:00:00+00:00,2022-10-06 13:15:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 13:15:00+00:00,2022-10-06 13:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 13:30:00+00:00,2022-10-06 13:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 13:45:00+00:00,2022-10-06 14:00:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 14:00:00+00:00,2022-10-06 14:15:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 14:15:00+00:00,2022-10-06 14:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 14:30:00+00:00,2022-10-06 14:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 14:45:00+00:00,2022-10-06 15:00:00+00:00,2294.265208891481,,,,,,,,,,,,,573.5663022228703,,discharge,0,0,False
1,2022-10-06 15:00:00+00:00,2022-10-06 15:15:00+00:00,-2520.0,,,,,,,,,,,,,630.0,,charge,0,0,False
1,2022-10-06 15:15:00+00:00,2022-10-06 15:30:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 15:30:00+00:00,2022-10-06 15:45:00+00:00,0.0,,,,,,,,,,,,,0.0,,idle,0,0,False
1,2022-10-06 15:45:00+00:00,2022-10-06 16:00:00+00:00,2313.788942691588,,,,,,,,,,,,,578.447235672897,,discharge,0,0,False
