session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2019-10-19 22:30:52.690421,75,230.39205416666667,1.0,0.4300405555555556,15.0,True
2_39_123_23_2019-10-20 20:47:22.475027,30,51.42491713458111,0.0,0.0,0.0,False
2_39_123_23_2019-10-21 17:04:47.855111,57,169.4902619047619,1.0,0.36618756944444447,11.0,True
2_39_123_23_2019-10-22 16:45:05.600771,63,358.67103663273,1.0,0.5145513194444444,6.0,True
2_39_123_23_2019-10-22 21:31:05.331780,53,136.16085865384616,1.0,0.5209886645299145,15.0,True
2_39_123_23_2019-10-24 15:09:12.861222,31,53.18762348484848,0.0,0.0,0.0,False
2_39_123_23_2019-10-24 15:48:53.100447,31,51.60895,0.0,0.0,0.0,False
2_39_123_23_2019-10-24 21:37:03.159243,75,208.7073281512605,2.0,0.5279325367647059,11.0,True
2_39_123_23_2019-10-25 16:22:15.412398,24,44.50954490950226,0.0,0.0,0.0,False
2_39_123_23_2019-10-25 17:23:08.333713,31,52.91945892857143,0.0,0.0,0.0,False
2_39_123_23_2019-10-25 19:44:09.085249,62,122.77230384615385,2.0,0.6097351388888889,8.0,True
2_39_123_23_2019-10-28 01:18:04.536085,69,399.75426666666664,0.0,0.0,0.0,False
2_39_123_23_2019-10-28 15:51:44.502249,53,122.13593846153846,2.0,1.109963888888889,16.0,True
2_39_123_23_2019-10-29 16:51:26.335180,44,216.86731388888887,1.0,0.799013611111111,16.0,True
2_39_123_23_2019-10-29 19:49:17.906489,193,242.54538333333332,3.0,2.068313611111111,90.0,True
2_39_123_23_2019-10-30 18:34:29.602184,63,188.39956369047619,1.0,0.3361138194444445,12.0,True
2_39_123_23_2019-10-31 16:37:20.875443,172,680.8619426693405,2.0,2.1911557843137257,76.0,True
2_39_123_557_2018-11-02 17:27:25.379905,155,567.216617986537,0.0,0.0,0.0,False
2_39_123_557_2018-11-06 16:45:06.617668,153,968.402502233714,1.0,0.7219854616013072,14.0,True
2_39_123_557_2018-11-07 21:10:27.109649,138,899.8447672619047,0.0,0.0,0.0,False
2_39_123_557_2018-11-08 17:48:58.659108,211,706.5792988795519,1.0,0.5144923120915033,17.0,True
2_39_123_557_2018-11-09 17:54:55.297356,337,1916.603488762347,2.0,1.321455486111111,37.0,True
2_39_123_557_2018-11-12 22:40:12.901031,31,58.33114833161335,0.0,0.0,0.0,False
2_39_123_557_2018-11-13 18:31:32.987707,53,337.9014858055343,0.0,0.0,0.0,False
2_39_123_557_2018-11-13 22:00:44.330687,83,477.00926444665583,0.0,0.0,0.0,False
2_39_123_557_2018-11-14 17:15:57.269288,150,974.2469073980628,1.0,0.6279847313238162,12.0,True
2_39_123_557_2018-11-15 16:51:17.374732,31,48.28516526610644,0.0,0.0,0.0,False
2_39_123_557_2018-11-19 19:00:41.093922,100,584.1869431372548,1.0,0.1713729166666667,5.0,True
2_39_123_557_2018-11-20 20:18:50.518551,35,57.05423695683401,0.0,0.0,0.0,False
2_39_123_557_2018-11-21 18:46:45.055444,101,596.8927791666666,1.0,0.5170304398148148,11.0,True
2_39_123_557_2018-11-25 18:25:19.317839,68,459.99937308802305,0.0,0.0,0.0,False
2_39_123_557_2018-11-26 19:07:29.007087,100,297.68503039692933,3.0,2.2362362157538453,15.0,True
2_39_123_557_2018-11-27 17:54:58.064449,219,594.198846796079,4.0,1.350626238813789,15.0,True
2_39_123_557_2018-11-28 18:01:04.274868,74,480.21343970588237,0.0,0.0,0.0,False
2_39_123_557_2018-11-29 21:15:08.874252,68,245.39393731146305,0.0,0.0,0.0,False
2_39_123_557_2019-03-12 19:46:35.060944,57,112.05953974089635,2.0,0.6341102777777777,8.0,True
2_39_123_557_2019-03-19 17:06:21.190353,147,740.4069653011204,0.0,0.0,0.0,False
2_39_123_557_2019-03-20 20:31:32.128737,26,141.6488198529412,0.0,0.0,0.0,False
