hypothesis,interval_start,hour_from_start,p_sched_kw,p_actual_mean_kw,error_kw,abs_error_kw,signed_energy_deviation_kwh,abs_energy_deviation_kwh,unfulfilled_energy_kwh,actual_sample_count
S1_supplementary_timezone,2024-05-29 09:15:00,22.25,0.0,-100.11777777777777,-100.11777777777777,100.11777777777777,-25.029444444444444,25.029444444444444,0.0,900
S1_supplementary_timezone,2024-05-29 09:30:00,22.5,-99.99999999999962,-100.83222222222223,-0.8322222222226117,0.8322222222226117,-0.20805555555565292,0.20805555555565292,0.0,900
S1_supplementary_timezone,2024-05-29 09:45:00,22.75,-2495.991261984779,-100.15222222222222,2395.839039762557,2395.839039762557,598.9597599406393,598.9597599406393,598.9597599406393,900
S1_supplementary_timezone,2024-05-29 10:00:00,23.0,0.0,-2.7888888888888888,-2.7888888888888888,2.7888888888888888,-0.6972222222222222,0.6972222222222222,0.0,900
S1_supplementary_timezone,2024-05-29 10:15:00,23.25,-99.99999999999908,-1.9955555555555555,98.00444444444352,98.00444444444352,24.50111111111088,24.50111111111088,24.50111111111088,900
S1_supplementary_timezone,2024-05-29 10:30:00,23.5,-99.99999999999991,-99.78222222222222,0.21777777777769813,0.21777777777769813,0.05444444444442453,0.05444444444442453,0.05444444444442453,900
S1_supplementary_timezone,2024-05-29 10:45:00,23.75,-99.99999999999908,-100.78555555555556,-0.7855555555564848,0.7855555555564848,-0.1963888888891212,0.1963888888891212,0.0,900
S1_supplementary_timezone,2024-05-29 11:00:00,24.0,0.0,-3.2422222222222223,-3.2422222222222223,3.2422222222222223,-0.8105555555555556,0.8105555555555556,0.0,900
S1_supplementary_timezone,2024-05-29 11:15:00,24.25,0.0,-99.57444444444444,-99.57444444444444,99.57444444444444,-24.89361111111111,24.89361111111111,0.0,900
S1_supplementary_timezone,2024-05-29 11:30:00,24.5,-99.99999999999908,-100.51333333333334,-0.5133333333342591,0.5133333333342591,-0.12833333333356478,0.12833333333356478,0.0,900
S1_supplementary_timezone,2024-05-29 11:45:00,24.75,-100.0000000000734,-3.1855555555555557,96.81444444451785,96.81444444451785,24.20361111112946,24.20361111112946,24.20361111112946,900
S1_supplementary_timezone,2024-05-29 12:00:00,25.0,0.0,-99.49777777777778,-99.49777777777778,99.49777777777778,-24.874444444444446,24.874444444444446,0.0,900
S1_supplementary_timezone,2024-05-29 12:15:00,25.25,-100.0,-101.15777777777778,-1.1577777777777811,1.1577777777777811,-0.2894444444444453,0.2894444444444453,0.0,900
S1_supplementary_timezone,2024-05-29 12:30:00,25.5,-99.99999999999956,-100.49222222222222,-0.4922222222226651,0.4922222222226651,-0.12305555555566627,0.12305555555566627,0.0,900
S1_supplementary_timezone,2024-05-29 12:45:00,25.75,0.0,-2.5644444444444443,-2.5644444444444443,2.5644444444444443,-0.6411111111111111,0.6411111111111111,0.0,900
S1_supplementary_timezone,2024-05-29 13:00:00,26.0,-99.99999999999908,-2487.0622222222223,-2387.062222222223,2387.062222222223,-596.7655555555558,596.7655555555558,0.0,900
S1_supplementary_timezone,2024-05-29 13:15:00,26.25,-100.0,-313.98555555555555,-213.98555555555555,213.98555555555555,-53.49638888888889,53.49638888888889,0.0,900
S1_supplementary_timezone,2024-05-29 13:30:00,26.5,-99.99999999999908,-4.745555555555556,95.25444444444352,95.25444444444352,23.81361111111088,23.81361111111088,23.81361111111088,900
S1_supplementary_timezone,2024-05-29 13:45:00,26.75,0.0,-1.8877777777777778,-1.8877777777777778,1.8877777777777778,-0.47194444444444444,0.47194444444444444,0.0,900
S1_supplementary_timezone,2024-05-29 14:00:00,27.0,-2520.0,-100.13888888888889,2419.8611111111113,2419.8611111111113,604.9652777777778,604.9652777777778,604.9652777777778,900
S1_supplementary_timezone,2024-05-29 14:15:00,27.25,-286.8709560332417,-2.8377777777777777,284.03317825546395,284.03317825546395,71.00829456386599,71.00829456386599,71.00829456386599,900
S1_supplementary_timezone,2024-05-29 14:30:00,27.5,0.0,-1.5677777777777777,-1.5677777777777777,1.5677777777777777,-0.39194444444444443,0.39194444444444443,0.0,900
S1_supplementary_timezone,2024-05-29 14:45:00,27.75,0.0,-1.8644444444444443,-1.8644444444444443,1.8644444444444443,-0.4661111111111111,0.4661111111111111,0.0,900
S1_supplementary_timezone,2024-05-29 15:00:00,28.0,-99.99999999999908,-1.89,98.10999999999908,98.10999999999908,24.52749999999977,24.52749999999977,24.52749999999977,900
