session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2019-01-24 15:57:49.743489,84,261.4908645424837,1.0,0.4248800694444444,10.0,True
2_39_123_23_2019-01-25 15:57:06.052136,121,383.8607193115708,1.0,0.4270912500000001,9.0,True
2_39_123_23_2019-01-28 13:43:14.875101,491,3216.9527037098005,1.0,0.8195134865349647,20.0,True
2_39_123_23_2019-01-29 15:55:12.210341,90,278.4396187173836,1.0,0.4955792491999458,10.0,True
2_39_123_23_2019-01-30 17:07:46.654608,80,249.9122731186469,3.0,0.745143054408898,9.0,True
2_39_123_23_2019-01-31 03:12:13.210277,110,714.4071382340655,1.0,0.6192716571350763,8.0,True
2_39_123_23_2019-01-31 15:59:12.685070,67,196.7372660087719,1.0,0.3882461887254902,9.0,True
2_39_123_23_2019-02-01 01:50:15.148759,24,63.835654166666664,1.0,0.352027638888889,11.0,True
2_39_123_23_2019-02-01 14:02:42.165943,471,3139.3295093560378,1.0,0.8700892349644537,23.0,True
2_39_123_23_2019-02-03 20:53:35.302183,139,855.8168887414056,1.0,0.7333817361111111,9.0,True
2_39_123_23_2019-02-11 20:06:44.687685,91,288.6868833333333,2.0,0.6538468055555555,11.0,True
2_39_123_23_2019-02-12 01:21:09.053992,123,782.0836641591252,1.0,0.5436059722222223,7.0,True
2_39_123_23_2019-02-12 18:10:06.017197,167,806.6776411594125,2.0,1.468863114495798,38.0,True
2_39_123_23_2019-02-13 03:32:34.405673,122,769.609425,1.0,0.5790369444444444,7.0,True
2_39_123_23_2019-02-13 16:29:05.235276,130,823.4216774617023,1.0,0.6740099959150327,8.0,True
2_39_123_23_2019-02-15 00:09:33.629995,22,55.83458341413488,1.0,0.340186641393737,11.0,True
2_39_123_23_2019-02-15 15:55:51.379866,66,203.78212405462185,2.0,0.6263146160130719,7.0,True
2_39_123_23_2019-02-19 18:47:20.120111,49,125.4523007531684,1.0,0.522636333046039,19.0,True
2_39_123_23_2019-02-20 18:01:01.837210,133,845.2400858893557,1.0,0.6922473611111111,8.0,True
2_39_123_23_2019-02-20 23:25:01.470958,53,139.58027536442316,1.0,0.5694310506854258,16.0,True
2_39_123_23_2019-02-21 19:26:56.339499,138,633.8181536531279,2.0,1.5763872685901847,22.0,True
2_39_123_23_2019-02-22 16:23:34.628589,100,312.5779686786203,1.0,0.36746126345274954,9.0,True
