site,station_id,month,field_mode,info_mode,split,cycle_count,session_count
caltech,2-39-83-386,2018-05,measured_no_pilot,M3_current_only,train,3618,11
caltech,2-39-88-24,2018-05,measured_no_pilot,M3_current_only,train,9960,33
caltech,2-39-88-438,2018-05,measured_no_pilot,M3_current_only,train,6840,23
caltech,2-39-89-25,2018-05,measured_no_pilot,M3_current_only,train,14136,38
caltech,2-39-89-439,2018-05,measured_no_pilot,M3_current_only,train,7069,18
caltech,2-39-90-26,2018-05,measured_no_pilot,M3_current_only,train,7877,31
caltech,2-39-90-440,2018-05,measured_no_pilot,M3_current_only,train,6816,25
caltech,2-39-91-437,2018-05,measured_no_pilot,M3_current_only,train,13433,35
caltech,2-39-91-441,2018-05,measured_no_pilot,M3_current_only,train,8192,25
caltech,2-39-92-436,2018-05,measured_no_pilot,M3_current_only,train,8394,28
caltech,2-39-92-442,2018-05,measured_no_pilot,M3_current_only,train,8327,23
caltech,2-39-95-27,2018-05,measured_no_pilot,M3_current_only,train,14945,28
caltech,2-39-95-444,2018-05,measured_no_pilot,M3_current_only,train,7884,18
caltech,2-39-123-23,2018-06,measured_no_pilot,M3_current_only,train,18016,63
caltech,2-39-123-557,2018-06,measured_no_pilot,M3_current_only,train,9765,20
caltech,2-39-124-22,2018-06,measured_no_pilot,M3_current_only,train,11330,43
caltech,2-39-124-558,2018-06,measured_no_pilot,M3_current_only,train,3795,9
caltech,2-39-125-21,2018-06,measured_no_pilot,M3_current_only,train,16025,66
caltech,2-39-125-559,2018-06,measured_no_pilot,M3_current_only,train,2121,6
caltech,2-39-126-20,2018-06,measured_no_pilot,M3_current_only,train,6387,39
caltech,2-39-126-560,2018-06,measured_no_pilot,M3_current_only,train,4515,15
caltech,2-39-127-19,2018-06,measured_no_pilot,M3_current_only,train,17901,79
caltech,2-39-127-561,2018-06,measured_no_pilot,M3_current_only,train,5094,13
caltech,2-39-128-18,2018-06,measured_no_pilot,M3_current_only,train,11169,48
caltech,2-39-128-562,2018-06,measured_no_pilot,M3_current_only,train,2272,9
caltech,2-39-129-17,2018-06,measured_no_pilot,M3_current_only,train,19216,79
caltech,2-39-129-563,2018-06,measured_no_pilot,M3_current_only,train,5620,14
caltech,2-39-130-31,2018-06,measured_no_pilot,M3_current_only,train,16093,51
