session_id,first_rf,later_rf_mean,direction,site
2_137_441_3022_2020-01-03 17:19:55.809434,0.0,0.6596605821119991,up,caltech
2_39_123_23_2018-11-15 16:00:54.079519,0.0,0.0,up,caltech
2_39_123_23_2018-11-21 16:38:21.366310,0.0,0.0,up,caltech
2_39_123_23_2018-11-26 18:21:43.162547,0.02834352057240432,0.09832811438391093,up,caltech
2_39_123_23_2018-12-06 15:56:29.123852,0.0,1.4240922718187892,down,caltech
2_39_123_23_2018-12-12 16:59:08.333943,0.003130829925673219,0.0,up,caltech
2_39_123_23_2018-12-17 20:55:04.190756,0.5874285498688903,0.43356748587369726,down,caltech
2_39_123_23_2018-12-18 15:54:47.324635,0.0,0.5730838646072366,up,caltech
2_39_123_23_2018-12-20 03:03:51.568590,0.029606832171167937,0.3012541394147628,down,caltech
2_39_123_23_2018-12-20 15:59:43.011822,1.1183231425934472,0.5667570971805058,down,caltech
2_39_123_23_2018-12-21 17:16:27.985979,0.31364421416234867,0.366763987775103,down,caltech
2_39_123_23_2019-01-02 16:27:57.366037,0.24256612952265041,0.47951746578410187,down,caltech
2_39_123_23_2019-01-04 13:57:31.140098,0.13262044516766475,0.03765803751597486,down,caltech
2_39_123_23_2019-01-14 03:12:55.456144,0.0,2.0,down,caltech
2_39_123_23_2019-01-14 17:38:25.998117,0.011064313133741528,0.0,down,caltech
2_39_123_23_2019-01-15 13:58:28.444557,0.0,0.4702930362323541,down,caltech
2_39_123_23_2019-01-16 02:06:19.205665,0.0,1.3377140142195378,down,caltech
2_39_123_23_2019-01-16 13:51:58.452310,2.0,1.1012147911113073,down,caltech
2_39_123_23_2019-01-18 13:49:01.282068,0.0,0.30350301111216776,down,caltech
2_39_123_23_2019-01-22 15:56:22.590196,0.6125012265724656,0.0,up,caltech
2_39_123_23_2019-01-24 15:57:49.743489,0.0,0.0,up,caltech
2_39_123_23_2019-02-03 20:53:35.302183,0.9509283819628648,0.5,down,caltech
2_39_123_23_2019-02-12 18:10:06.017197,0.0,0.0,up,caltech
2_39_123_23_2019-04-15 16:45:55.887332,0.0,0.0,up,caltech
2_39_123_23_2019-04-18 22:08:29.209358,0.0015326361341505708,0.016212266095012303,up,caltech
2_39_123_23_2019-08-05 23:28:55.955571,0.0,0.0,up,caltech
2_39_123_23_2020-01-21 17:39:34.856196,0.0024743624241336465,0.0,up,caltech
2_39_123_23_2020-03-05 17:55:33.434004,0.0,0.016066304183657842,down,caltech
2_39_123_557_2018-11-26 19:07:29.007087,0.44805470407922654,0.0,up,caltech
2_39_123_557_2018-11-27 17:54:58.064449,0.5633177016721138,0.032292605951307195,up,caltech
2_39_123_557_2018-12-14 16:49:26.094556,1.3991443357466797,0.866516174910838,up,caltech
2_39_123_557_2018-12-18 17:55:38.932295,0.5745525444650169,0.0,up,caltech
2_39_123_557_2018-12-19 18:02:09.173653,0.0,0.3953095629699249,down,caltech
2_39_123_557_2019-01-16 20:28:32.645659,0.0,0.0,up,caltech
2_39_123_557_2019-02-07 18:16:11.232230,0.0,0.0,up,caltech
2_39_123_557_2019-02-28 17:20:11.644279,1.2618520949190006,0.7407384860967378,up,caltech
2_39_123_557_2019-03-19 17:06:21.190353,0.05195925187301271,1.0370488694179671,down,caltech
2_39_123_557_2019-04-14 20:27:08.112987,0.028594511549056942,0.013839479244808831,down,caltech
2_39_123_557_2020-03-06 18:36:59.836528,0.09231773099008216,1.0,down,caltech
2_39_124_22_2018-11-05 16:22:28.287145,0.13464075895845054,0.6849783261087027,down,caltech
2_39_124_22_2018-11-09 17:20:50.659768,1.8120665223552321,1.1944801441547561,down,caltech
2_39_124_22_2018-11-15 16:55:54.216752,2.0,1.0811767330896107,down,caltech
2_39_124_22_2018-11-20 18:51:38.180943,0.12953229398663701,0.0,up,caltech
2_39_124_22_2018-11-26 16:33:26.499634,0.4612895396812558,0.5008615020225244,down,caltech
2_39_124_22_2018-12-06 20:47:24.748562,0.0,0.0,down,caltech
2_39_124_22_2018-12-12 23:05:51.137619,0.580085576579448,0.9598369895414993,up,caltech
2_39_124_22_2018-12-17 21:46:13.436537,1.3068948862632377,0.6754160937467933,up,caltech
2_39_124_22_2019-01-09 18:17:26.680043,1.1296615963566095,0.46351070634644853,up,caltech
2_39_124_22_2019-01-17 17:14:58.909286,0.0,1.5037693440208746,down,caltech
2_39_124_22_2019-01-18 20:29:11.119217,0.29218124165554077,0.630853345250439,down,caltech
2_39_124_22_2019-04-15 17:50:04.471722,1.8494332011961883,0.0,up,caltech
2_39_124_22_2019-04-28 16:54:27.629761,0.6224834481826779,0.6604878048780489,up,caltech
2_39_124_22_2019-05-17 17:03:56.275620,2.0,2.0,down,caltech
