name,policy,phase,emur_numer,emur_denom,emur_rate,noise_numer,noise_denom,noise_rate,resid_full_mean_kw,resid_full_energy_kwh,resid_steady_mean_kw,resid_steady_energy_kwh,bound_err_mean_kw,bad_cmd_rate,cascade_count,recovery_delay_s,recovery_steps,recovery_false_steps,pcc_resid_full_mean_kw
RB_up_R1_20pct_r0,B0_no_gate,robustness,0,0,,0,313,0.0,0.5720164486371685,0.00015889345795476903,0.18204678232952007,5.056855064708891e-05,0.5771107397026043,0.0,0,,0,0,0.4032018285325293
RB_up_R1_20pct_r0,B1_static_derate,robustness,0,0,,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,80.0,0.0,0,,0,0,8.264462809917354
RB_up_R1_20pct_r0,B2_error_rolling,robustness,0,0,,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,,0.0,0,,0,0,8.264462809917354
RB_extra_protection,A,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_extra_protection,B0_no_gate,robustness,50,50,1.0,0,313,0.0,0.6034910076721622,0.00016763639102004507,0.21241338231569756,5.900371730991599e-05,0.5429432279166904,0.0,0,,0,0,0.4174091479759595
RB_extra_protection,B1_static_derate,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_extra_protection,B2_error_rolling,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,,0.0,0,,0,0,8.264462809917354
RB_down_R2_10pct_r3,A,robustness,0,0,,0,313,0.0,2.1456000845991747,0.0005960000234997708,0.16352471749499556,4.5423532637498765e-05,0.37227690219128434,0.0,0,,0,0,0.9404594598992518
RB_down_R2_10pct_r3,B0_no_gate,robustness,0,0,,0,313,0.0,0.2718911051402866,7.552530698341294e-05,0.16352471749499556,4.5423532637498765e-05,0.3894217019962967,0.0,0,,0,0,0.16619955103194273
RB_down_R2_10pct_r3,B1_static_derate,robustness,0,0,,0,313,0.0,6.0,0.0016666666666666668,6.0,0.0016666666666666668,35.0,0.0,0,,0,0,2.479338842975207
RB_down_R2_10pct_r3,B2_error_rolling,robustness,0,0,,0,313,0.0,6.0,0.0016666666666666668,6.0,0.0016666666666666668,,0.0,0,,0,0,2.479338842975207
RB_up_R1_20pct_r3,A,robustness,0,0,,0,313,0.0,6.9414405887801705,0.001928177941327825,0.21518438321366773,5.977343978157437e-05,0.656836334774015,0.0,0,,0,0,3.0324070184284637
RB_up_R1_20pct_r3,B0_no_gate,robustness,0,0,,0,313,0.0,0.6112510007003428,0.00016979194463898412,0.21518438321366773,5.977343978157437e-05,0.656836334774015,0.0,0,,0,0,0.41662619690787406
RB_up_R1_20pct_r3,B1_static_derate,robustness,0,0,,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,80.0,0.0,0,,0,0,8.264462809917354
RB_up_R1_20pct_r3,B2_error_rolling,robustness,0,0,,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,,0.0,0,,0,0,8.264462809917354
RB_down_R2_20pct_r0,A,robustness,0,0,,0,313,0.0,4.191915696731096,0.0011644210268697487,0.1648714179768099,4.579761610466942e-05,0.4107658358727839,0.0,0,,0,0,1.8326326089332208
RB_down_R2_20pct_r0,B0_no_gate,robustness,0,0,,0,313,0.0,0.39638439228153977,0.00011010677563376104,0.1648714179768099,4.579761610466942e-05,0.4107658358727839,0.0,0,,0,0,0.2642312434581976
RB_down_R2_20pct_r0,B1_static_derate,robustness,0,0,,0,313,0.0,12.0,0.0033333333333333335,12.0,0.0033333333333333335,35.0,0.0,0,,0,0,4.958677685950414
RB_down_R2_20pct_r0,B2_error_rolling,robustness,0,0,,0,313,0.0,12.0,0.0033333333333333335,12.0,0.0033333333333333335,,0.0,0,,0,0,4.958677685950414
RB_extra_mode_switch,A,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_extra_mode_switch,B0_no_gate,robustness,50,50,1.0,0,313,0.0,0.6034910076721622,0.00016763639102004507,0.21241338231569756,5.900371730991599e-05,0.5429432279166904,0.0,0,,0,0,0.4174091479759595
RB_extra_mode_switch,B1_static_derate,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,70.0,0.0,0,,0,0,8.264462809917354
RB_extra_mode_switch,B2_error_rolling,robustness,0,50,0.0,0,313,0.0,20.0,0.005555555555555556,20.0,0.005555555555555556,,0.0,0,,0,0,8.264462809917354
RB_up_R0_20pct_r2,A,robustness,0,0,,0,313,0.0,6.922184164392294,0.001922828934553415,0.19982484059635283,5.5506900165653565e-05,0.4072474828037748,0.0,0,,0,0,3.023974405010823
