layer,pool,split,field_mode,variable,bucket,bucket_rule_source,n_evaluable,n_e1_events,e1_evidence_rate,n_e3_valid_cycles,n_e3_candidates,e3_candidate_rate,daily_candidate_energy_share,a2_elimination,a3_elimination,direction_vs_reference,interpretation_scope,na_reason
opportunity,jpl,train,current_only,n_active_x_elapsed,1|120-239,pre_existing_cross,3330,,,3273,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,1|240+,pre_existing_cross,3053,,,2990,0,0.0,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,2-3|<30,pre_existing_cross,712,,,691,61,0.088278,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,2-3|30-59,pre_existing_cross,464,,,432,39,0.090278,0.0,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,2-3|60-119,pre_existing_cross,1036,,,959,135,0.140772,0.009111,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,2-3|120-239,pre_existing_cross,1903,,,1847,351,0.190038,0.02741,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,2-3|240+,pre_existing_cross,1937,,,1998,531,0.265766,0.04686,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,4-7|<30,pre_existing_cross,775,,,769,253,0.328999,0.020559,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,4-7|30-59,pre_existing_cross,187,,,195,61,0.312821,0.017798,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,4-7|60-119,pre_existing_cross,211,,,195,65,0.333333,0.025254,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
opportunity,jpl,train,current_only,n_active_x_elapsed,4-7|120-239,pre_existing_cross,880,,,876,350,0.399543,0.032581,,,bucket<pooled,hypothesis,a0_unavailable_current_only;metric_not_applicable
