rel_path,sha256_12,pages,total_cjk,elapsed_s,status,error,ocred_at
大模型/基于多模态大模型的供应链需求预测系统.pdf,2210f445e27b,16,10314,42.0,OK,,2026-09-07T16:02:29
大模型/基于多模态大模型的行业用电异动智能分析方法及系统.pdf,62b81cd257f3,15,9782,37.2,OK,,2026-09-07T16:03:06
大模型/基于多模态大模型知识图谱与大模型推理的工作票智能校核方法.pdf,615487c1cd47,12,6208,23.7,OK,,2026-09-07T16:03:30
大模型/基于大模型与智能体协同的电力交易数据交互方法及系统.pdf,57558cb45f44,19,16303,55.9,OK,,2026-09-07T16:04:26
大模型/基于大模型的电力交易数据分析报告自动生成方法及系统.pdf,41d099e27690,21,15257,56.3,OK,,2026-09-07T16:05:22
大模型/基于大模型驱动的电网智能体自适应优化.pdf,c385a66fc72f,21,15875,61.9,OK,,2026-09-07T16:06:59
大模型/基于大模型驱动的电网智能体自适应优化系统及方法.pdf,d49107e0aedd,21,15875,54.6,OK,,2026-09-07T16:07:53
大模型/基于大语言模型辅助知识图谱构建的电力数据预测方法.pdf,8bc055b2e5a7,17,10232,37.7,OK,,2026-09-07T16:08:31
大模型/基于提示词增强与动态编排的智能体系统构建方法及装置.pdf,9e5983c6f24c,20,19190,73.3,OK,,2026-09-07T16:09:44
大模型/基于数据大模型的火电厂运维决策方法及系统.pdf,cba88b9f7888,13,10482,49.0,OK,,2026-09-07T16:10:34
大模型/基于电力大模型的变电站智能巡视数据分析方法.pdf,0326a22712ff,20,16312,58.1,OK,,2026-09-07T16:11:32
大模型/基于知识图谱与大模型的电力设备故障分析.pdf,ed8ffac30f19,69,32086,100.7,OK,,2026-09-07T16:13:12
大模型/基于知识图谱和多Agent协同的电力工程多模态RAG系统.pdf,536ef5714248,17,14475,50.6,OK,,2026-09-07T16:14:03
大模型/配电网重构的大模型动态调用启发式优化方法及求解器.pdf,26c5e8cb645a,24,20497,71.0,OK,,2026-09-07T16:15:14
大模型/针对电力通信网运维的大模型提示词生成方法.pdf,09529de5178d,23,21697,74.6,OK,,2026-09-07T16:17:46
大模型/面向云上电力信息系统的多智能体协同决策的运维平台.pdf,40d5b02c2a89,29,23499,88.8,OK,,2026-09-07T16:26:28
大模型/面向能源互联网的数据预测与跨网主体调度方法研究.pdf,2a8ce540b0fd,121,56236,179.5,OK,,2026-09-07T16:29:28
